pHsoil,Ecsoil,CECsoil,OC,Ptemp, C,N,H,O,pHbc,Ecbc,Ash,SSA,ITCC,BCC,SMC,BCAR,IT,CIE
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,120,-1.973684211
5.67,0.49,10.2,17300,600,24.99,0.38,1.22,10.31,10.88,0.47,62.74,35.97,12.7,0.35,,10,180,49.29006085
5.93,0.698,21.36,19520,600,,,,,,,,39.7,3,0,60,4,7,-19.2686147
7.75,0.04887,,5960,400,63.28,15.76,3.87,0.83,,,16.12,2.94,3.34,0,70,1,15,36.7244626
6.8,,,28890,,75.84,0.15,2.53,19.93,9.98,,,790,2.1,0,70,3,45,31.65829146
5.93,0.698,21.36,19520,600,,,,,,,,47.2,3,0,60,4,28,-41.67541177
7.7,0.72,,,450,69.23,0.82,2.81,,7.6,0.74,31.1,8.3,20.9,0,70,2.5,1,26.89655172
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,365,-2.719033233
5.33,0.076,7.03,4390.6,400,42.62,1.77,2.13,12.49,10.04,3.88,41,3.42,7.21,0.61,70,1,28,21.68
5.93,0.698,21.36,19520,600,,,,,,,,79.3,3,0,60,4,1,55.11882106
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,5,7,7.69
7.75,0.04887,,5960,400,60.35,13.18,3.93,0.81,,,20.8,4.64,3.34,0,70,1,15,60.81128102
5.6,,10.4,32500,300,70.3,0.9,5.93,24,9.2,,17.1,,3.2,0,50,3,90,48.66828087
5.93,0.698,21.36,19520,600,,,,,,,,75.3,3,0,60,4,1,32.46474406
5.84,0.23,7.1,53800,450,32.71,2.19,2.7,0.91,10.07,0.47,61.02,4.28,0.99,0.24,,10,180,7.5
6.77,,5.42,8565,400,66.21,4.21,3.71,,9.91,,17.35,2.41,6.54,0,70,4,30,24.17915822
5.33,0.076,7.03,4390.6,400,42.62,1.77,2.13,12.49,10.04,3.88,41,3.42,7.21,0.61,70,3,7,54.4
8.03,0.083,10.36,20600,600,,,,,10.05,2.85,29.67,36.91,1.97,0,70,0.6,14,51.09310199
7.87,2.6,37.8,78900,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,29.55
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,2,0,-7.975460123
7.89,2.24,10.6,2500,600,25.27,1.2,0.84,12.1,10.73,0.5,60.23,7.03,16.4,0.33,,10,180,10.63829787
6,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,120,10.38961039
8.03,0.083,10.36,20600,600,,,,,"	10.37",2.39,"	31.58 ",11.07,1.97,0,70,0.4,14,44.29930174
4.29,,16.34,54984,300,12.07,,1.79,11.15,9.98,,27.13,25.94,3.28,0,60,5,7,3.91
5.33,0.076,7.03,4390.6,400,42.62,1.77,2.13,12.49,10.04,3.88,41,3.42,7.21,0.61,70,1,60,17.22
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,5,14,15.22
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,0,46.98795181
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,0,-1.226993865
4.29,,16.34,54984,300,8.47,,1.08,6.3,9.75,,35.71,9.4,3.28,0,60,2.5,42,25.98
7.87,2.6,37.8,78900,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,-0.76
5.7,0.02,5.3,5046,750,86,0.45,1.49,12.06,9.5,0.08,11.9,907.4,1.4,0,70,1,365,0.27
7.55,,11.37,13640,700,48.9,1.77,1.04,10.3,5.63,,44.6,147,1.28,0,60,2,15,50.41137377
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,10,14,21.01
6.8,,,28890,,55.19,0.93,2.08,8.76,10.3,,,25.61,2.1,0,70,1,30,34.64052288
7.7,0.72,,,450,69.23,0.82,2.81,,7.6,0.74,31.1,8.3,20.9,0,70,2.5,1,8.045977011
7.5,0.31,24,13920,500,71,0.87,2.9,25.23,9.6,0.2,11.2,277,31,0,60,10,56,53.13
8.47,1.3,14.5,21900,550,33.7,3.81,2.41,13.5,7,4.19,46.2,6.05,50,0,47.5,5,140,78.68
4.43,,11.3,29800,300,73.3,0.3,2.6,22.9,9.1,,1.1,5.6,2.2,0,70,5,1,30.57667817
5.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,6,395,55.04587156
7.43,0.417,,5550.6,550,85.2,1.021,1.52,12.259,10.82,0.12,,,33.45,0,70,1,7,6.47
8.4,0.19,,14900,,73.1,,3.2,24.2,9.2,1.4,,6.1,39.9,0,65,2.5,50,5.519605236
5.33,0.076,7.03,4390.6,400,40.13,1.95,2.07,10.86,9.85,2.8,45,2.35,7.21,0.68,70,1,150,26.34
7.65,0.38,,,350,43.8,0.85,5.31,13.6,7.42,0.83,,4.73,1.36,0.2,,3,6,65.53664364
7.75,0.04887,,5960,400,60.35,13.18,3.93,0.81,,,20.8,4.64,3.34,0,70,0.5,15,54.58419292
7.44,0.2677,,49080,500,53.5,2.17,2.66,41.67,9.99,1.66,,76.33,1.93,0,60,5,7,15.32186674
5.93,0.698,21.36,19520,600,,,,,,,,41.1,3,0,60,4,7,24.87606806
4.5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,120,-24.46808511
5.33,0.076,7.03,4390.6,400,42.62,1.77,2.13,12.49,10.04,3.88,41,3.42,7.21,0.61,70,1,7,19.17
5,,11.63,29210,700,82.25,1.86,2.87,13.02,10.63,,36.81,,"1.18	","	0.25",70,4,365,18.5840708
4.43,,11.3,29800,300,73.3,0.3,2.6,22.9,9.1,,1.1,5.6,2.2,0,70,3,730,12.66562793
4.43,,11.3,29800,300,67.7,1.6,4.1,23.3,8.6,,5.8,6.5,2.2,0,70,5,730,34.07515046
8.03,0.083,10.36,20600,600,,,,,"	10.37",2.39,"	31.58 ",11.07,1.97,0,70,0.6,14,28.89399069
